"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2022","98.377","98.180","98.400","98.135","0.01K","0.27%"
"Mar 31, 2022","98.115","97.600","98.180","97.600","0.03K","0.50%"
"Mar 30, 2022","97.630","97.880","97.880","97.500","0.03K","-0.58%"
"Mar 29, 2022","98.196","98.840","98.980","97.820","0.01K","-0.62%"
"Mar 28, 2022","98.810","98.870","99.000","98.800","0.01K","0.23%"
"Mar 25, 2022","98.582","98.740","98.865","98.420","11.83K","0.02%"
"Mar 24, 2022","98.565","98.670","98.670","98.550","0.00K","0.19%"
"Mar 23, 2022","98.380","98.630","98.630","98.595","0.00K","0.08%"
"Mar 22, 2022","98.298","98.590","98.705","98.280","0.02K","0.01%"
"Mar 21, 2022","98.284","98.155","98.170","98.000","0.01K","0.26%"
"Mar 18, 2022","98.027","97.705","98.060","97.705","0.00K","0.27%"
"Mar 17, 2022","97.765","98.205","98.225","97.535","0.09K","-0.64%"
"Mar 16, 2022","98.396","98.600","98.835","98.160","0.07K","-0.49%"
"Mar 15, 2022","98.884","98.825","98.875","98.540","0.04K","-0.14%"
"Mar 14, 2022","99.024","99.075","99.300","98.705","15.68K","-0.16%"
"Mar 11, 2022","99.183","98.540","99.195","98.285","29.43K","0.64%"
"Mar 10, 2022","98.557","98.170","98.625","97.785","30.75K","0.50%"
"Mar 09, 2022","98.069","99.220","99.270","97.965","25.00K","-1.21%"
"Mar 08, 2022","99.270","99.390","99.470","98.890","15.09K","-0.17%"
"Mar 07, 2022","99.436","98.605","99.455","98.605","13.32K","0.78%"
"Mar 04, 2022","98.671","98.035","98.910","97.865","1.85K","0.90%"
"Mar 03, 2022","97.793","97.475","97.935","97.455","0.85K","0.40%"
"Mar 02, 2022","97.404","97.350","97.820","97.290","1.34K","0.03%"
"Mar 01, 2022","97.374","96.730","97.535","96.575","1.31K","0.78%"
"Feb 28, 2022","96.619","97.300","97.315","96.540","0.67K","0.08%"
"Feb 25, 2022","96.544","96.900","97.150","96.450","0.92K","-0.51%"
"Feb 24, 2022","97.043","96.260","97.650","96.200","1.25K","0.98%"
"Feb 23, 2022","96.098","95.925","96.150","95.775","0.42K","0.17%"
"Feb 22, 2022","95.936","96.000","96.165","95.790","0.36K","-0.03%"
"Feb 21, 2022","95.960","96.090","96.090","95.595","0.65K","0.01%"
"Feb 18, 2022","95.952","95.780","96.080","95.660","0.17K","0.24%"
"Feb 17, 2022","95.723","95.740","96.000","95.620","0.65K","0.10%"
"Feb 16, 2022","95.627","95.940","95.965","95.600","0.36K","-0.31%"
"Feb 15, 2022","95.923","96.125","96.205","95.880","0.67K","-0.38%"
"Feb 14, 2022","96.291","95.940","96.350","95.870","0.44K","0.31%"
"Feb 11, 2022","95.998","95.800","96.045","95.600","0.69K","0.57%"
"Feb 10, 2022","95.458","95.530","95.900","95.085","0.45K","0.04%"
"Feb 09, 2022","95.424","95.495","95.570","95.310","0.09K","-0.15%"
"Feb 08, 2022","95.566","95.335","95.650","95.315","0.13K","0.25%"
"Feb 07, 2022","95.327","95.355","95.540","95.295","0.24K","-0.09%"
"Feb 04, 2022","95.410","95.250","95.600","95.100","0.41K","0.09%"
"Feb 03, 2022","95.324","95.995","96.150","95.235","0.59K","-0.55%"
"Feb 02, 2022","95.855","96.165","96.215","95.750","0.18K","-0.47%"
"Feb 01, 2022","96.305","96.600","96.600","96.150","0.51K","-0.16%"
"Jan 31, 2022","96.462","97.120","97.165","96.445","0.25K","-0.73%"
"Jan 28, 2022","97.176","97.120","97.300","96.975","0.13K","0.02%"
"Jan 27, 2022","97.157","96.480","97.200","96.475","0.52K","0.85%"
"Jan 26, 2022","96.335","95.895","96.445","95.840","0.11K","0.49%"
"Jan 25, 2022","95.863","95.910","96.180","95.880","0.07K","0.03%"
"Jan 24, 2022","95.836","95.620","96.050","95.615","0.11K","0.28%"
