date,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Ticker
2022-03-04,25976000000.0,12201000000.0,4665000000.0,1685000000.0,2739000000.0,ADBE
2021-12-03,27241000000.0,12444000000.0,4673000000.0,1878000000.0,3844000000.0,ADBE
2021-09-03,26144000000.0,11730000000.0,4685000000.0,1545000000.0,4623000000.0,ADBE
2021-06-04,25582000000.0,11730000000.0,4693000000.0,1477000000.0,4250000000.0,ADBE
2021-03-05,24985000000.0,11439000000.0,4707000000.0,1520000000.0,3452000000.0,ADBE
2020-11-27,24284000000.0,11020000000.0,4708000000.0,1398000000.0,4478000000.0,ADBE
2020-08-28,22414000000.0,10701000000.0,4726000000.0,1318000000.0,3767000000.0,ADBE
2020-05-29,21603000000.0,10722000000.0,4697000000.0,1366000000.0,3044000000.0,ADBE
2020-02-28,21214000000.0,10749000000.0,4197000000.0,1465000000.0,2688000000.0,ADBE
2019-11-29,20762400000.0,10232245000.0,4138267000.0,1598709000.0,2650221000.0,ADBE
2019-08-30,20054880000.0,9812107000.0,4137016000.0,1447897000.0,2209047000.0,ADBE
2019-05-31,19665909000.0,9734216000.0,4133606000.0,1272668000.0,2082910000.0,ADBE
2019-03-01,19505536000.0,9634051000.0,4129587000.0,1390043000.0,1738846000.0,ADBE
2018-11-30,18768682000.0,9406568000.0,4124800000.0,1315578000.0,1642775000.0,ADBE
2018-08-31,15395620000.0,6533695000.0,1874654000.0,1044507000.0,1747144000.0,ADBE
2018-06-01,15163000000.0,6458000000.0,1874000000.0,1075000000.0,2988000000.0,ADBE
2018-03-02,14973000000.0,6339000000.0,1875000000.0,1063000000.0,2667000000.0,ADBE
2017-12-01,14536000000.0,6076000000.0,1881000000.0,1218000000.0,2306000000.0,ADBE
2017-09-01,13907000000.0,5736000000.0,1889000000.0,1006000000.0,1775000000.0,ADBE
2017-06-02,13365000000.0,5561000000.0,1888000000.0,901000000.0,1317000000.0,ADBE
2017-03-03,13045000000.0,5456000000.0,1884000000.0,851000000.0,1069000000.0,ADBE
2016-12-02,12697000000.0,5272000000.0,1892000000.0,833000000.0,1011000000.0,ADBE
2016-09-02,12367000000.0,5089000000.0,1917000000.0,731000000.0,768000000.0,ADBE
2016-06-03,12217000000.0,4968000000.0,1918000000.0,667000000.0,886000000.0,ADBE
2016-03-04,11897000000.0,4815000000.0,1917000000.0,599000000.0,831000000.0,ADBE
2015-11-27,11726000000.0,4725000000.0,1907000000.0,672000000.0,876000000.0,ADBE
2015-08-28,11508000000.0,4667000000.0,1906000000.0,594000000.0,829000000.0,ADBE
2015-05-29,11165000000.0,4555000000.0,1904000000.0,503000000.0,956000000.0,ADBE
2015-02-27,11008000000.0,4419000000.0,1902064000.0,532000000.0,713000000.0,ADBE
2014-11-28,10786000000.0,4010000000.0,1514229000.0,592000000.0,1117000000.0,ADBE
2014-08-29,10494000000.0,3762000000.0,1508426000.0,528000000.0,903000000.0,ADBE
2014-05-30,10372000000.0,3735000000.0,1506742000.0,532000000.0,817000000.0,ADBE
2014-02-28,10245882000.0,3634999000.0,1509728000.0,510507000.0,733916000.0,ADBE
2013-11-29,10380000000.0,3656000000.0,1513676000.0,600000000.0,835000000.0,ADBE
2013-08-30,10234000000.0,3399000000.0,1519462000.0,522000000.0,819000000.0,ADBE
2013-05-31,10280369000.0,3353067000.0,1525643000.0,470052000.0,1246410000.0,ADBE
2013-03-01,10166000000.0,3360000000.0,1531406000.0,486000000.0,1306000000.0,ADBE
2012-11-30,9974523000.0,3309341000.0,1506529000.0,617233000.0,1425052000.0,ADBE
2012-08-31,9630013000.0,3191320000.0,1510974000.0,566671000.0,1162380000.0,ADBE
2012-06-01,9366000000.0,3266000000.0,1510426000.0,529000000.0,951000000.0,ADBE
2012-03-02,9133000000.0,3146000000.0,1512318000.0,512000000.0,801000000.0,ADBE
2011-12-02,8991000000.0,3208000000.0,1514212000.0,634000000.0,990000000.0,ADBE
2011-09-02,8493000000.0,2929000000.0,1516107000.0,559000000.0,769000000.0,ADBE
2011-06-03,8340000000.0,2950000000.0,1518003000.0,569000000.0,827000000.0,ADBE
2011-03-04,8310000000.0,2885000000.0,1520900000.0,533000000.0,900000000.0,ADBE
2010-12-03,8141000000.0,2949000000.0,1522799000.0,554000000.0,750000000.0,ADBE
2010-09-03,7947000000.0,2862000000.0,1524698000.0,485000000.0,814000000.0,ADBE
2010-06-04,8007000000.0,2828000000.0,1494000000.0,439000000.0,1137000000.0,ADBE
2010-03-05,7945000000.0,2774000000.0,1494000000.0,351000000.0,1590000000.0,ADBE
