date,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Ticker
2022-03-04,1769000000.0,1669000000.0,-260000000.0,-2604000000.0,ADBE
2021-12-03,2066000000.0,1967000000.0,-1739000000.0,-1078000000.0,ADBE
2021-09-03,1404000000.0,1309000000.0,-133000000.0,-899000000.0,ADBE
2021-06-04,1988000000.0,1893000000.0,-107000000.0,-1080000000.0,ADBE
2021-03-05,1772000000.0,1713000000.0,-1558000000.0,-1244000000.0,ADBE
2020-11-27,1782000000.0,1679000000.0,-131000000.0,-940000000.0,ADBE
2020-08-28,1436000000.0,1310000000.0,-315000000.0,-414000000.0,ADBE
2020-05-29,1184000000.0,1088000000.0,80000000.0,-901000000.0,ADBE
2020-02-28,1325000000.0,1231000000.0,-48000000.0,-1233000000.0,ADBE
2019-11-29,1376399000.0,1282304000.0,-168409000.0,-765660000.0,ADBE
2019-08-30,922638000.0,833014000.0,-165330000.0,-624371000.0,ADBE
2019-05-31,1109328000.0,963836000.0,10073000.0,-772101000.0,ADBE
2019-03-01,1013448000.0,948180000.0,-131918000.0,-783912000.0,ADBE
2018-11-30,1107993000.0,1045430000.0,-3138878000.0,1924731000.0,ADBE
2018-08-31,955304000.0,891746000.0,-1520334000.0,-671661000.0,ADBE
2018-06-01,976406000.0,931090000.0,67679000.0,-717365000.0,ADBE
2018-03-02,989601000.0,894459000.0,-93762000.0,-541273000.0,ADBE
2017-12-01,833220000.0,795536000.0,20366000.0,-319509000.0,ADBE
2017-09-01,704436000.0,650198000.0,-36814000.0,-218299000.0,ADBE
2017-06-02,644827000.0,589530000.0,-87547000.0,-314432000.0,ADBE
2017-03-03,730370000.0,699467000.0,-338882000.0,-331495000.0,ADBE
2016-12-02,695601000.0,646968000.0,-143098000.0,-300469000.0,ADBE
2016-09-02,517885000.0,462672000.0,-306588000.0,-324957000.0,ADBE
2016-06-03,488715000.0,434956000.0,-251505000.0,-180888000.0,ADBE
2016-03-04,497527000.0,451327000.0,-258842000.0,-284392000.0,ADBE
2015-11-27,454515000.0,389839000.0,-285987000.0,-115150000.0,ADBE
2015-08-28,360488000.0,311504000.0,-465091000.0,-18710000.0,ADBE
2015-05-29,471484000.0,435754000.0,-38909000.0,-186102000.0,ADBE
2015-02-27,183015000.0,147469000.0,-698371000.0,119275000.0,ADBE
2014-11-28,399753000.0,362978000.0,-77959000.0,-103353000.0,ADBE
2014-08-29,268520000.0,213554000.0,-170394000.0,-9794000.0,ADBE
2014-05-30,367536000.0,340338000.0,-147932000.0,-135927000.0,ADBE
2014-02-28,251673000.0,222280000.0,-94422000.0,-258209000.0,ADBE
2013-11-29,314982000.0,279861000.0,-15000.0,-300530000.0,ADBE
2013-08-30,215525000.0,168727000.0,-397235000.0,-247371000.0,ADBE
2013-05-31,299148000.0,252899000.0,-334439000.0,-22642000.0,ADBE
2013-03-01,322031000.0,261841000.0,-446114000.0,11405000.0,ADBE
2012-11-30,473659000.0,391870000.0,-129475000.0,-80419000.0,ADBE
2012-08-31,263340000.0,185908000.0,-119220000.0,62956000.0,ADBE
2012-06-01,448218000.0,387451000.0,-148260000.0,-148735000.0,ADBE
2012-03-02,314363000.0,263275000.0,-437707000.0,-68525000.0,ADBE
2011-12-02,496753000.0,421856000.0,-259680000.0,-199000.0,ADBE
2011-09-02,325128000.0,259653000.0,-300122000.0,-97681000.0,ADBE
2011-06-03,389331000.0,351830000.0,-102475000.0,-365960000.0,ADBE
2011-03-04,332102000.0,299681000.0,-95125000.0,-86518000.0,ADBE
2010-12-03,310631000.0,255204000.0,-203004000.0,-186272000.0,ADBE
2010-09-03,291471000.0,252431000.0,-266668000.0,-354292000.0,ADBE
2010-06-04,251090000.0,201462000.0,-480903000.0,-214857000.0,ADBE
2010-03-05,259803000.0,234256000.0,-208719000.0,540159000.0,ADBE
2009-11-27,253819000.0,218886000.0,-1091888000.0,705368000.0,ADBE
2009-08-28,236681000.0,178250000.0,-55894000.0,-276600000.0,ADBE
2009-05-29,261529000.0,251217000.0,-217752000.0,20215000.0,ADBE
2009-02-27,365743000.0,349827000.0,-131562000.0,28675000.0,ADBE
2008-11-28,337820000.0,314509000.0,-299162000.0,-273921000.0,ADBE
2008-08-29,211771000.0,171961000.0,-265188000.0,30741000.0,ADBE
2008-05-30,331791000.0,309388000.0,-69102000.0,-131875000.0,ADBE
2008-02-29,399300000.0,373032000.0,328771000.0,-646512000.0,ADBE
2007-11-30,398216000.0,370085000.0,296641000.0,-307913000.0,ADBE
2007-08-31,425170000.0,393010000.0,-55505000.0,-710251000.0,ADBE
2007-06-01,345399000.0,321915000.0,152007000.0,-126347000.0,ADBE
2007-03-02,270518000.0,222218000.0,-309849000.0,-205879000.0,ADBE
2006-12-01,327981000.0,294900000.0,-147359000.0,-53314000.0,ADBE
2006-09-01,180191000.0,161339000.0,39006000.0,144000.0,ADBE
2006-06-02,241266000.0,221583000.0,21557000.0,-475128000.0,ADBE
2006-03-03,177801000.0,166167000.0,281982000.0,-246378000.0,ADBE
2005-12-02,222253000.0,211484000.0,137882000.0,-393125000.0,ADBE
2005-09-02,173021000.0,155551000.0,-26426000.0,52298000.0,ADBE
2005-06-03,170982000.0,161858000.0,-204319000.0,71364000.0,ADBE
2005-03-04,164097000.0,152585000.0,-227500000.0,22867000.0,ADBE
2004-12-03,190837000.0,168963000.0,-35290000.0,18148000.0,ADBE
2004-09-03,160446000.0,146029000.0,-23970000.0,-156427000.0,ADBE
2004-06-04,147000000.0,134509000.0,-59608000.0,-68002000.0,ADBE
2004-03-05,185461000.0,171017000.0,-157714000.0,-18237000.0,ADBE
2003-11-28,128615000.0,116025000.0,-214588000.0,129156000.0,ADBE
2003-08-29,97083000.0,89401000.0,-82806000.0,-10963000.0,ADBE
2003-05-30,128091000.0,116399000.0,-162860000.0,33190000.0,ADBE
2003-02-28,79347000.0,71857000.0,-88138000.0,-34365000.0,ADBE
2022-03-26,995000000.0,924000000.0,3158000000.0,-1948000000.0,AMD
2021-12-25,822000000.0,736000000.0,0.0,-727000000.0,AMD
2021-09-25,849000000.0,764000000.0,-83000000.0,-949000000.0,AMD
2021-06-26,952000000.0,888000000.0,119000000.0,-211000000.0,AMD
2021-03-27,898000000.0,832000000.0,-722000000.0,-8000000.0,AMD
2020-12-26,554000000.0,480000000.0,-294000000.0,35000000.0,AMD
2020-09-26,339000000.0,265000000.0,-549000000.0,-269000000.0,AMD
2020-06-27,243000000.0,152000000.0,-36000000.0,238000000.0,AMD
2020-03-28,-65000000.0,-120000000.0,-73000000.0,2000000.0,AMD
2019-12-28,442000000.0,400000000.0,-26000000.0,-107000000.0,AMD
2019-09-28,234000000.0,179000000.0,57000000.0,-98000000.0,AMD
2019-06-29,30000000.0,-28000000.0,-7000000.0,-38000000.0,AMD
2019-03-30,-213000000.0,-275000000.0,-173000000.0,286000000.0,AMD
2018-12-29,70000000.0,29000000.0,-38000000.0,0.0,AMD
2018-09-29,95000000.0,62000000.0,-8000000.0,8000000.0,AMD
2018-06-30,-45000000.0,-88000000.0,-78000000.0,28000000.0,AMD
2018-03-31,-86000000.0,-132000000.0,-46000000.0,-8000000.0,AMD
2017-12-30,383000000.0,339000000.0,-43000000.0,-34000000.0,AMD
2017-09-30,66000000.0,32000000.0,51000000.0,2000000.0,AMD
2017-07-01,-82000000.0,-94000000.0,124000000.0,-4000000.0,AMD
2017-04-01,-299000000.0,-322000000.0,-246000000.0,3000000.0,AMD
