Ticker,Date,Revenue,Operating Income,Net Income,EBITDA,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Adj Close
AAPL,2003-03-31,1475000000.0,-4000000.0,14000000.0,51000000.0,6361000000.0,2222000000.0,310000000.0,621000000.0,3410000000.0,98000000.0,58000000.0,697000000.0,3000000.0,0.2203810356679509
AAPL,2003-06-30,1545000000.0,9000000.0,19000000.0,59000000.0,6441000000.0,2243000000.0,307000000.0,674000000.0,3507000000.0,8000000.0,-38000000.0,74000000.0,15000000.0,0.2509274723983946
AAPL,2003-09-30,1715000000.0,31000000.0,44000000.0,80000000.0,6815000000.0,2592000000.0,304000000.0,950000000.0,3396000000.0,73000000.0,15000000.0,-180000000.0,-4000000.0,0.3174511678516865
AAPL,2003-12-31,2006000000.0,74000000.0,63000000.0,122000000.0,6971000000.0,2641000000.0,302000000.0,787000000.0,3724000000.0,219000000.0,175000000.0,77000000.0,32000000.0,0.3293966762721538
AAPL,2004-03-31,1909000000.0,52000000.0,46000000.0,101000000.0,6735000000.0,2245000000.0,0.0,758000000.0,3158000000.0,61000000.0,26000000.0,-403000000.0,-224000000.0,0.3637744087365365
AAPL,2004-06-30,2014000000.0,72000000.0,61000000.0,126000000.0,7223000000.0,2411000000.0,0.0,852000000.0,3120000000.0,211000000.0,173000000.0,-460000000.0,211000000.0,0.4334384241411763
AAPL,2004-09-30,2350000000.0,128000000.0,106000000.0,187000000.0,8050000000.0,2974000000.0,0.0,1050000000.0,2969000000.0,443000000.0,384000000.0,-702000000.0,108000000.0,0.5021818396635354
AAPL,2004-12-31,3490000000.0,403000000.0,295000000.0,470000000.0,9362000000.0,3572000000.0,0.0,1197000000.0,2475000000.0,775000000.0,717000000.0,-1523000000.0,254000000.0,0.8403137838467956
AAPL,2005-03-31,3243000000.0,402000000.0,290000000.0,476000000.0,10111000000.0,3725000000.0,0.0,1242000000.0,2254000000.0,536000000.0,493000000.0,-909000000.0,152000000.0,1.1953955107047909
AAPL,2005-06-30,3520000000.0,427000000.0,320000000.0,519000000.0,10488000000.0,3667000000.0,0.0,1101000000.0,3094000000.0,472000000.0,409000000.0,305000000.0,63000000.0,1.1452289372682571
AAPL,2005-09-30,3678000000.0,418000000.0,430000000.0,529000000.0,11551000000.0,4085000000.0,0.0,1312000000.0,3491000000.0,752000000.0,656000000.0,-429000000.0,74000000.0,1.3823523819446564
AAPL,2005-12-31,5749000000.0,750000000.0,565000000.0,883000000.0,14181000000.0,5801000000.0,0.0,2413000000.0,4150000000.0,283000000.0,201000000.0,93000000.0,283000000.0,1.919981044436258
AAPL,2006-03-31,4359000000.0,529000000.0,410000000.0,655000000.0,13911000000.0,5229000000.0,0.0,1984000000.0,6346000000.0,-125000000.0,-318000000.0,2462000000.0,-141000000.0,2.121311970295445
AAPL,2006-06-30,4370000000.0,566000000.0,472000000.0,718000000.0,15114000000.0,5784000000.0,0.0,2094000000.0,8013000000.0,1007000000.0,770000000.0,531000000.0,129000000.0,1.9359915805241417
AAPL,2006-09-30,4837000000.0,608000000.0,542000000.0,787000000.0,17205000000.0,7221000000.0,0.0,2845000000.0,6392000000.0,1055000000.0,910000000.0,-2729000000.0,53000000.0,2.0019245980277893
AAPL,2006-12-31,7115000000.0,1322000000.0,1004000000.0,1522000000.0,19461000000.0,8233000000.0,0.0,3113000000.0,7159000000.0,1813000000.0,1556000000.0,-1234000000.0,188000000.0,2.504494610286894
AAPL,2007-03-31,5264000000.0,986000000.0,770000000.0,1203000000.0,18711000000.0,6450000000.0,0.0,1667000000.0,7095000000.0,734000000.0,528000000.0,-978000000.0,180000000.0,2.6764686576655654
AAPL,2007-06-30,5410000000.0,1041000000.0,818000000.0,1277000000.0,21647000000.0,8243000000.0,0.0,2901000000.0,7118000000.0,1227000000.0,938000000.0,-1433000000.0,229000000.0,3.27477528935387
AAPL,2007-09-30,6217000000.0,1060000000.0,904000000.0,1323000000.0,25347000000.0,10815000000.0,0.0,4029000000.0,9352000000.0,1696000000.0,1462000000.0,396000000.0,142000000.0,4.10055529125153
AAPL,2007-12-31,9608000000.0,2126000000.0,1581000000.0,2432000000.0,30039000000.0,13235000000.0,0.0,4422000000.0,9162000000.0,2787000000.0,2555000000.0,-3462000000.0,485000000.0,5.39969826489687
AAPL,2008-03-31,7512000000.0,1315000000.0,1045000000.0,1593000000.0,30471000000.0,12418000000.0,0.0,3620000000.0,9070000000.0,1193000000.0,978000000.0,-1362000000.0,77000000.0,4.206955030316212
AAPL,2008-06-30,7464000000.0,1392000000.0,1072000000.0,1627000000.0,31709000000.0,12087000000.0,0.0,3245000000.0,9373000000.0,1321000000.0,991000000.0,-1372000000.0,354000000.0,5.247910693287849
AAPL,2008-09-30,7895000000.0,1442000000.0,1136000000.0,1716000000.0,39572000000.0,18542000000.0,0.0,4704000000.0,11875000000.0,4295000000.0,3873000000.0,-1993000000.0,200000000.0,4.841982021927834
AAPL,2008-12-31,10167000000.0,2126000000.0,1605000000.0,2442000000.0,42787000000.0,19878000000.0,0.0,3413000000.0,7236000000.0,3938000000.0,3585000000.0,-8639000000.0,62000000.0,2.8704636059701443
AAPL,2009-03-31,8163000000.0,1667000000.0,1205000000.0,1902000000.0,43237000000.0,18926000000.0,0.0,3036000000.0,4466000000.0,841000000.0,725000000.0,-3685000000.0,74000000.0,2.8292779179870107
AAPL,2009-06-30,8337000000.0,1672000000.0,1229000000.0,1908000000.0,48140000000.0,22252000000.0,0.0,4180000000.0,5605000000.0,2270000000.0,1998000000.0,-1339000000.0,208000000.0,3.912902082715716
AAPL,2009-09-30,9870000000.0,2193000000.0,1665000000.0,2435000000.0,53851000000.0,26019000000.0,0.0,5057000000.0,5263000000.0,3110000000.0,2638000000.0,-3771000000.0,319000000.0,4.965461619198322
AAPL,2009-12-31,15683000000.0,4725000000.0,3378000000.0,4967000000.0,53926000000.0,18158000000.0,0.0,4881000000.0,7609000000.0,5781000000.0,5400000000.0,-3958000000.0,523000000.0,5.964789196848869
AAPL,2010-03-31,13499000000.0,3979000000.0,3074000000.0,4245000000.0,57057000000.0,17709000000.0,0.0,2886000000.0,10018000000.0,2330000000.0,2029000000.0,-83000000.0,162000000.0,6.3753500219251285
AAPL,2010-06-30,15700000000.0,4234000000.0,3253000000.0,4565000000.0,64725000000.0,21614000000.0,0.0,6399000000.0,9705000000.0,4801000000.0,4175000000.0,-5430000000.0,316000000.0,7.702207179296584
AAPL,2010-09-30,20343000000.0,5447000000.0,4308000000.0,5790000000.0,75183000000.0,27392000000.0,0.0,9924000000.0,11261000000.0,5683000000.0,4870000000.0,-4383000000.0,256000000.0,7.858413174748421
AAPL,2010-12-31,26741000000.0,7827000000.0,6004000000.0,8319000000.0,86742000000.0,32076000000.0,0.0,10874000000.0,10734000000.0,9773000000.0,8510000000.0,-10729000000.0,429000000.0,9.418258473277092
AAPL,2011-03-31,24667000000.0,7874000000.0,5987000000.0,8334000000.0,94904000000.0,33427000000.0,0.0,11095000000.0,15978000000.0,6219000000.0,5563000000.0,-1522000000.0,547000000.0,10.451972423061248
AAPL,2011-06-30,28571000000.0,9379000000.0,7308000000.0,10032000000.0,106758000000.0,37415000000.0,0.0,11471000000.0,12091000000.0,11108000000.0,10146000000.0,-15032000000.0,37000000.0,10.207944930545867
AAPL,2011-09-30,28270000000.0,8710000000.0,6623000000.0,9334000000.0,116371000000.0,39756000000.0,0.0,11717000000.0,9815000000.0,10429000000.0,5858000000.0,-13136000000.0,431000000.0,11.504993587732317
AAPL,2011-12-31,46333000000.0,17340000000.0,13064000000.0,18198000000.0,138681000000.0,48627000000.0,0.0,16484000000.0,10310000000.0,17554000000.0,16125000000.0,-17128000000.0,69000000.0,11.84206970154293
AAPL,2012-03-31,39186000000.0,15384000000.0,11622000000.0,16272000000.0,150934000000.0,48436000000.0,0.0,13769000000.0,10121000000.0,13977000000.0,12468000000.0,-14476000000.0,310000000.0,15.229109687189904
AAPL,2012-06-30,35023000000.0,11573000000.0,8824000000.0,12696000000.0,162896000000.0,51150000000.0,0.0,14298000000.0,7945000000.0,10189000000.0,7226000000.0,-12310000000.0,-55000000.0,17.569664758349223
