,date,Revenue,Operating Income,Net Income,EBITDA,Ticker
0,2022-03-04,4262000000.0,1580000000.0,1266000000.0,1784000000.0,ADBE
1,2021-12-03,4110000000.0,1501000000.0,1233000000.0,1701000000.0,ADBE
2,2021-09-03,3935000000.0,1441000000.0,1212000000.0,1638000000.0,ADBE
3,2021-06-04,3835000000.0,1406000000.0,1116000000.0,1608000000.0,ADBE
4,2021-03-05,3905000000.0,1454000000.0,1261000000.0,1659000000.0,ADBE
5,2020-11-27,3424000000.0,1215000000.0,2250000000.0,1414000000.0,ADBE
6,2020-08-28,3225000000.0,1069000000.0,955000000.0,1279000000.0,ADBE
7,2020-05-29,3128000000.0,1016000000.0,1100000000.0,1216000000.0,ADBE
8,2020-02-28,3091000000.0,937000000.0,955000000.0,1140000000.0,ADBE
9,2019-11-29,2991945000.0,969932000.0,851861000.0,1286319000.0,ADBE
10,2019-08-30,2834126000.0,853812000.0,792763000.0,1024566000.0,ADBE
11,2019-05-31,2744280000.0,749547000.0,632593000.0,896959000.0,ADBE
12,2019-03-01,2600946000.0,694830000.0,674241000.0,887825000.0,ADBE
13,2018-11-30,2464625000.0,720546000.0,678240000.0,833810000.0,ADBE
14,2018-08-31,2291076000.0,718606000.0,666291000.0,809355000.0,ADBE
15,2018-06-01,2195400000.0,698484000.0,663200000.0,759523000.0,ADBE
16,2018-03-02,2078900000.0,702733000.0,583100000.0,670921000.0,ADBE
17,2017-12-01,2006600000.0,649340000.0,501500000.0,743350000.0,ADBE
18,2017-09-01,1841100000.0,545674000.0,419600000.0,642528000.0,ADBE
19,2017-06-02,1772200000.0,504082000.0,374400000.0,592582000.0,ADBE
20,2017-03-03,1681600000.0,468999000.0,398400000.0,559539000.0,ADBE
21,2016-12-02,1608400000.0,472280000.0,399600000.0,556078000.0,ADBE
22,2016-09-02,1464000000.0,369325000.0,270800000.0,457595000.0,ADBE
23,2016-06-03,1398700000.0,344239000.0,244100000.0,431535000.0,ADBE
24,2016-03-04,1383300000.0,307758000.0,254300000.0,391969000.0,ADBE
25,2015-11-27,1306400000.0,290434000.0,222700000.0,399774000.0,ADBE
26,2015-08-28,1217800000.0,246019000.0,174500000.0,336769000.0,ADBE
27,2015-05-29,1162200000.0,193617000.0,147500000.0,283534000.0,ADBE
28,2015-02-27,1109200000.0,173025000.0,84900000.0,257480000.0,ADBE
