,Date,GDP,Date,Unemp,Date,InflationRate,Date,HPI,Date,CPI,Date,FedFund,Date,Mortgage
0,2003-04-01,14743.567,2003-03-31,5.866666666666667,2003-03-31,1.0119595216191437,2003-04-01,283.2,2003-03-31,183.0,2003-03-31,1.25,2003-03-31,5.840769230769231
1,2003-07-01,14988.782,2003-06-30,6.133333333333333,2003-06-30,0.3642987249544482,2003-07-01,287.57,2003-06-30,183.66666666666663,2003-06-30,1.2466666666666668,2003-06-30,5.506923076923077
2,2003-10-01,15162.76,2003-09-30,6.133333333333333,2003-09-30,0.4900181488203481,2003-10-01,295.71,2003-09-30,184.5666666666667,2003-09-30,1.0166666666666666,2003-09-30,6.033846153846154
3,2004-01-01,15248.68,2003-12-31,5.833333333333333,2003-12-31,0.0180603214737118,2004-01-01,300.36,2003-12-31,184.6,2003-12-31,0.9966666666666668,2003-12-31,5.9192857142857145
4,2004-04-01,15366.85,2004-03-31,5.7,2004-03-31,0.9028530155290592,2004-04-01,307.69,2004-03-31,186.26666666666665,2004-03-31,1.0033333333333332,2004-03-31,5.5975
5,2004-07-01,15512.619,2004-06-30,5.599999999999999,2004-06-30,1.4316392269148048,2004-07-01,319.4,2004-06-30,188.9333333333333,2004-06-30,1.01,2004-06-30,6.106153846153846
6,2004-10-01,15670.88,2004-09-30,5.433333333333334,2004-09-30,0.3528581510233053,2004-10-01,326.24,2004-09-30,189.6,2004-09-30,1.4333333333333331,2004-09-30,5.894285714285714
7,2005-01-01,15844.727,2004-12-31,5.433333333333334,2004-12-31,0.5977496483825728,2005-01-01,333.72,2004-12-31,190.73333333333332,2004-12-31,1.95,2004-12-31,5.7361538461538455
8,2005-04-01,15922.782,2005-03-31,5.3,2005-03-31,0.6291506466270302,2005-04-01,344.41,2005-03-31,191.9333333333333,2005-03-31,2.47,2005-03-31,5.768461538461538
9,2005-07-01,16047.587,2005-06-30,5.1000000000000005,2005-06-30,1.3372698853768794,2005-07-01,354.89,2005-06-30,194.5,2005-06-30,2.9433333333333334,2005-06-30,5.708461538461538
10,2005-10-01,16136.734,2005-09-30,4.966666666666667,2005-09-30,1.2167952013710348,2005-10-01,362.92,2005-09-30,196.86666666666667,2005-09-30,3.4599999999999995,2005-09-30,5.7638461538461545
