"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","612.73","622.42","623.19","612.43","","-1.56%"
"03/30/2022","622.45","630.78","631.28","619.61","","-1.33%"
"03/29/2022","630.85","616.80","631.52","616.80","","2.28%"
"03/28/2022","616.77","610.08","616.82","605.85","","1.09%"
"03/25/2022","610.14","611.26","612.75","603.32","","-0.19%"
"03/24/2022","611.32","597.16","611.32","596.71","","2.37%"
"03/23/2022","597.16","605.10","606.08","595.93","","-1.32%"
"03/22/2022","605.13","596.09","608.35","595.89","","1.49%"
"03/21/2022","596.26","597.55","599.47","588.95","","-0.21%"
"03/18/2022","597.52","584.28","598.26","580.37","","2.25%"
"03/17/2022","584.35","577.98","584.35","573.71","","1.13%"
"03/16/2022","577.84","557.31","578.19","557.31","","3.68%"
"03/15/2022","557.34","540.62","558.27","540.00","","3.05%"
"03/14/2022","540.83","550.88","554.40","539.38","","-1.87%"
"03/11/2022","551.13","562.18","566.99","550.46","","-1.99%"
"03/10/2022","562.32","571.37","572.34","554.37","","-1.57%"
"03/09/2022","571.30","547.93","573.52","547.90","","4.27%"
"03/08/2022","547.89","551.27","563.22","541.06","","-0.63%"
"03/07/2022","551.35","572.38","574.31","551.20","","-3.67%"
"03/04/2022","572.35","585.41","585.41","568.55","","-2.22%"
"03/03/2022","585.36","594.29","598.14","582.85","","-1.46%"
"03/02/2022","594.05","583.66","596.26","581.54","","1.76%"
"03/01/2022","583.80","594.92","595.77","579.86","","-1.87%"
"02/28/2022","594.93","594.14","597.34","586.03","","0.08%"
"02/25/2022","594.46","584.72","594.64","580.85","","1.73%"
"02/24/2022","584.36","567.17","585.03","546.24","","3.02%"
"02/23/2022","567.24","580.95","588.24","566.85","","-2.37%"
"02/22/2022","580.99","586.04","590.01","575.47","","-0.87%"
"02/21/2022","586.11","587.13","587.35","585.70","","-0.19%"
"02/18/2022","587.24","594.95","596.63","583.58","","-1.30%"
"02/17/2022","594.97","613.51","613.59","594.08","","-3.02%"
"02/16/2022","613.47","615.37","616.39","604.42","","-0.30%"
"02/15/2022","615.31","599.58","615.45","599.21","","2.63%"
"02/14/2022","599.56","601.26","604.11","593.64","","-0.31%"
"02/11/2022","601.43","619.09","622.43","599.06","","-2.90%"
"02/10/2022","619.39","633.77","634.58","616.85","","-2.27%"
"02/09/2022","633.80","618.56","633.80","618.55","","2.47%"
"02/08/2022","618.53","611.95","619.99","607.77","","1.07%"
"02/07/2022","611.98","615.07","619.96","610.09","","-0.49%"
"02/04/2022","615.01","610.68","619.79","606.19","","0.72%"
"02/03/2022","610.62","630.67","630.68","609.60","","-3.18%"
"02/02/2022","630.65","627.34","634.55","623.47","","0.55%"
"02/01/2022","627.23","624.27","627.76","617.38","","0.49%"
"01/31/2022","624.16","605.39","624.43","605.34","","3.08%"
"01/28/2022","605.51","583.12","605.51","580.26","","3.84%"
"01/27/2022","583.12","589.49","599.22","581.54","","-1.12%"
"01/26/2022","589.74","586.46","607.93","584.39","","0.56%"
"01/25/2022","586.44","600.86","601.01","581.52","","-2.39%"
"01/24/2022","600.77","600.45","601.47","568.85","","0.03%"
"01/21/2022","600.56","613.70","616.91","600.35","","-2.18%"
"01/20/2022","613.94","620.27","633.07","613.13","","-1.02%"
"01/19/2022","620.29","629.11","638.00","619.89","","-1.41%"
