Date,Open,High,Low,Close
3/31/22,"3,733.62","3,733.62","3,654.62","3,654.62"
3/30/22,"3,813.65","3,813.65","3,715.05","3,733.62"
3/29/22,"3,719.96","3,825.59","3,719.96","3,813.65"
3/28/22,"3,660.25","3,720.02","3,631.09","3,719.96"
3/25/22,"3,694.98","3,694.98","3,610.82","3,660.25"
3/24/22,"3,602.19","3,695.22","3,583.62","3,694.98"
3/23/22,"3,667.55","3,680.71","3,594.46","3,602.19"
3/22/22,"3,575.01","3,683.15","3,575.01","3,667.55"
3/21/22,"3,625.97","3,625.97","3,519.57","3,575.01"
3/18/22,"3,523.48","3,626.20","3,495.71","3,625.97"
3/17/22,"3,482.68","3,523.94","3,423.92","3,523.48"
3/16/22,"3,260.99","3,482.73","3,260.99","3,482.68"
3/15/22,"3,149.04","3,267.62","3,149.04","3,260.99"
3/14/22,"3,255.81","3,255.81","3,139.19","3,149.04"
3/11/22,"3,345.87","3,390.37","3,252.82","3,255.81"
3/10/22,"3,432.24","3,432.24","3,294.25","3,345.87"
3/9/22,"3,279.56","3,448.61","3,279.56","3,432.24"
3/8/22,"3,259.77","3,381.63","3,213.94","3,279.56"
3/7/22,"3,419.75","3,445.52","3,259.01","3,259.77"
3/4/22,"3,522.67","3,522.67","3,394.06","3,419.75"
3/3/22,"3,629.23","3,632.60","3,502.62","3,522.67"
3/2/22,"3,565.21","3,642.91","3,541.57","3,629.23"
3/1/22,"3,652.65","3,661.83","3,540.72","3,565.21"
2/28/22,"3,654.45","3,686.14","3,593.46","3,652.65"
2/25/22,"3,610.13","3,655.56","3,561.27","3,654.45"
2/24/22,"3,488.10","3,614.24","3,330.15","3,610.13"
2/23/22,"3,590.25","3,644.01","3,486.71","3,488.10"
2/22/22,"3,652.85","3,677.62","3,547.12","3,590.25"
2/18/22,"3,722.85","3,724.41","3,624.08","3,652.85"
2/17/22,"3,841.74","3,841.74","3,718.99","3,722.85"
2/16/22,"3,884.94","3,884.94","3,787.53","3,841.74"
2/15/22,"3,741.19","3,887.45","3,741.19","3,884.94"
2/14/22,"3,757.72","3,793.96","3,701.78","3,741.19"
2/11/22,"3,907.64","3,934.60","3,735.57","3,757.72"
2/10/22,"3,997.84","4,031.24","3,889.89","3,907.64"
2/9/22,"3,867.11","3,998.28","3,867.11","3,997.84"
2/8/22,"3,805.33","3,875.78","3,777.55","3,867.11"
2/7/22,"3,826.87","3,874.81","3,794.35","3,805.33"
2/4/22,"3,725.02","3,866.06","3,725.02","3,826.87"
2/3/22,"3,906.36","3,906.36","3,720.97","3,725.02"
2/2/22,"3,909.39","3,951.25","3,858.02","3,906.36"
2/1/22,"3,867.63","3,914.31","3,816.65","3,909.39"
1/31/22,"3,687.33","3,868.01","3,687.33","3,867.63"
1/28/22,"3,583.73","3,688.10","3,516.83","3,687.33"
1/27/22,"3,672.60","3,727.79","3,580.14","3,583.73"
1/26/22,"3,687.43","3,819.59","3,629.01","3,672.60"
1/25/22,"3,792.24","3,792.24","3,650.51","3,687.43"
1/24/22,"3,772.74","3,795.95","3,539.37","3,792.24"
1/21/22,"3,923.20","3,923.20","3,771.45","3,772.74"
1/20/22,"3,965.67","4,077.97","3,918.63","3,923.20"
1/19/22,"4,033.65","4,089.16","3,964.28","3,965.67"
1/18/22,"4,174.23","4,174.23","4,026.08","4,033.65"
1/14/22,"4,132.71","4,174.89","4,106.41","4,174.23"
1/13/22,"4,260.84","4,296.68","4,124.99","4,132.71"
1/12/22,"4,231.84","4,297.52","4,220.67","4,260.84"
1/11/22,"4,153.58","4,237.93","4,114.93","4,231.84"
1/10/22,"4,138.05","4,156.21","4,007.84","4,153.58"
1/7/22,"4,192.93","4,225.07","4,112.45","4,138.05"
1/6/22,"4,179.64","4,229.21","4,118.30","4,192.93"
1/5/22,"4,332.84","4,333.80","4,179.61","4,179.64"
1/4/22,"4,417.49","4,417.49","4,277.69","4,332.84"
1/3/22,"4,360.85","4,419.94","4,343.75","4,417.49"
12/31/21,"4,392.04","4,410.66","4,360.66","4,360.85"
12/30/21,"4,383.13","4,435.40","4,375.54","4,392.04"
12/29/21,"4,389.57","4,405.43","4,346.89","4,383.13"
12/28/21,"4,436.66","4,444.60","4,380.46","4,389.57"
12/27/21,"4,381.95","4,440.41","4,381.95","4,436.66"
12/23/21,"4,345.22","4,397.01","4,333.33","4,381.95"
12/22/21,"4,306.97","4,345.84","4,276.59","4,345.22"
12/21/21,"4,147.79","4,309.17","4,147.79","4,306.97"
12/20/21,"4,208.96","4,208.96","4,116.87","4,147.79"
12/17/21,"4,216.79","4,248.41","4,141.50","4,208.96"
12/16/21,"4,362.27","4,376.42","4,189.79","4,216.79"
12/15/21,"4,262.38","4,365.01","4,189.06","4,362.27"
12/14/21,"4,312.82","4,312.82","4,212.73","4,262.38"
12/13/21,"4,407.03","4,410.09","4,306.81","4,312.82"
12/10/21,"4,360.01","4,456.37","4,360.01","4,407.03"
12/9/21,"4,448.48","4,462.87","4,356.16","4,360.01"
12/8/21,"4,420.81","4,454.77","4,388.72","4,448.48"
12/7/21,"4,255.59","4,439.17","4,255.59","4,420.81"
12/6/21,"4,221.26","4,268.32","4,131.00","4,255.59"
12/3/21,"4,339.23","4,347.38","4,169.23","4,221.26"
12/2/21,"4,314.30","4,370.39","4,272.27","4,339.23"
12/1/21,"4,427.65","4,495.95","4,313.88","4,314.30"
11/30/21,"4,534.96","4,553.54","4,402.79","4,427.65"
11/29/21,"4,428.42","4,541.38","4,428.42","4,534.96"
11/26/21,"4,525.97","4,525.97","4,407.04","4,428.42"
11/24/21,"4,491.67","4,527.26","4,427.83","4,525.97"
11/23/21,"4,530.72","4,541.98","4,424.08","4,491.67"
11/22/21,"4,609.05","4,663.43","4,529.49","4,530.72"
11/19/21,"4,599.18","4,646.12","4,599.18","4,609.05"
11/18/21,"4,573.38","4,607.15","4,551.94","4,599.18"
11/17/21,"4,612.23","4,612.23","4,563.95","4,573.38"
11/16/21,"4,577.45","4,618.76","4,568.53","4,612.23"
11/15/21,"4,586.31","4,606.31","4,548.44","4,577.45"
11/12/21,"4,513.94","4,587.25","4,513.94","4,586.31"
11/11/21,"4,466.81","4,529.63","4,466.81","4,513.94"
11/10/21,"4,572.51","4,572.51","4,435.12","4,466.81"
11/9/21,"4,594.31","4,624.69","4,545.95","4,572.51"
11/8/21,"4,570.67","4,614.43","4,570.67","4,594.31"
11/5/21,"4,553.82","4,605.92","4,543.64","4,570.67"
11/4/21,"4,470.91","4,569.09","4,470.91","4,553.82"
11/3/21,"4,428.49","4,473.60","4,415.90","4,470.91"
11/2/21,"4,422.63","4,440.42","4,408.74","4,428.49"
11/1/21,"4,367.11","4,423.88","4,367.11","4,422.63"
10/29/21,"4,369.25","4,369.25","4,336.63","4,367.11"
10/28/21,"4,301.21","4,370.43","4,301.21","4,369.25"
10/27/21,"4,324.18","4,353.86","4,301.10","4,301.21"
10/26/21,"4,338.50","4,385.86","4,307.72","4,324.18"
10/25/21,"4,299.71","4,353.89","4,287.81","4,338.50"
10/22/21,"4,382.68","4,382.68","4,283.50","4,299.71"
10/21/21,"4,367.75","4,384.30","4,338.57","4,382.68"
10/20/21,"4,387.37","4,402.02","4,350.55","4,367.75"
10/19/21,"4,347.91","4,398.58","4,347.91","4,387.37"
10/18/21,"4,306.44","4,349.08","4,291.57","4,347.91"
10/15/21,"4,269.46","4,308.01","4,269.46","4,306.44"
10/14/21,"4,202.51","4,275.10","4,202.51","4,269.46"
10/13/21,"4,142.45","4,210.76","4,142.45","4,202.51"
10/12/21,"4,148.23","4,180.38","4,134.54","4,142.45"
10/11/21,"4,174.84","4,208.36","4,147.55","4,148.23"
10/8/21,"4,190.92","4,216.25","4,172.95","4,174.84"
10/7/21,"4,124.34","4,226.27","4,124.34","4,190.92"
10/6/21,"4,111.50","4,130.20","4,053.51","4,124.34"
10/5/21,"4,054.65","4,136.66","4,054.65","4,111.50"
10/4/21,"4,149.22","4,149.22","4,026.28","4,054.65"
10/1/21,"4,116.92","4,158.72","4,086.59","4,149.22"
9/30/21,"4,109.00","4,161.91","4,109.00","4,116.92"
9/29/21,"4,147.53","4,182.03","4,104.48","4,109.00"
9/28/21,"4,300.54","4,300.54","4,144.10","4,147.53"
9/27/21,"4,313.90","4,313.90","4,251.35","4,300.54"
9/24/21,"4,310.89","4,317.81","4,271.89","4,313.90"
9/23/21,"4,258.80","4,317.78","4,258.80","4,310.89"
9/22/21,"4,198.12","4,276.40","4,198.12","4,258.80"
9/21/21,"4,178.28","4,223.73","4,174.58","4,198.12"
9/20/21,"4,285.32","4,285.32","4,116.83","4,178.28"
9/17/21,"4,313.88","4,314.88","4,267.99","4,285.32"
9/16/21,"4,310.56","4,322.28","4,268.06","4,313.88"
9/15/21,"4,279.67","4,312.45","4,248.81","4,310.56"
9/14/21,"4,296.39","4,307.99","4,266.63","4,279.66"
9/13/21,"4,302.34","4,327.18","4,251.95","4,296.40"
9/10/21,"4,312.68","4,370.95","4,299.32","4,302.34"
9/9/21,"4,328.24","4,337.97","4,303.64","4,312.68"
9/8/21,"4,382.66","4,382.66","4,295.43","4,328.24"
9/7/21,"4,371.37","4,392.65","4,365.48","4,382.66"
9/3/21,"4,341.66","4,374.73","4,332.04","4,371.37"
9/2/21,"4,337.91","4,365.98","4,331.20","4,341.66"
9/1/21,"4,323.23","4,367.32","4,323.23","4,337.91"
8/31/21,"4,324.18","4,334.24","4,296.91","4,323.23"
8/30/21,"4,293.54","4,333.17","4,293.54","4,324.18"
8/27/21,"4,248.00","4,297.73","4,248.00","4,293.54"
8/26/21,"4,266.09","4,284.64","4,233.73","4,248.00"
8/25/21,"4,240.84","4,269.65","4,240.84","4,266.09"
8/24/21,"4,196.38","4,249.56","4,196.38","4,240.84"
8/23/21,"4,105.73","4,201.18","4,105.73","4,196.38"
8/20/21,"4,083.43","4,115.01","4,079.25","4,105.73"
8/19/21,"4,089.19","4,114.69","4,039.58","4,083.43"
8/18/21,"4,110.66","4,145.56","4,086.41","4,089.19"
8/17/21,"4,154.63","4,154.63","4,079.67","4,110.66"
8/16/21,"4,199.14","4,199.14","4,106.58","4,154.63"
8/13/21,"4,192.02","4,209.41","4,179.06","4,199.14"
8/12/21,"4,197.65","4,197.65","4,146.80","4,192.02"
8/11/21,"4,215.61","4,242.84","4,168.13","4,197.65"
8/10/21,"4,259.49","4,279.51","4,209.34","4,215.61"
8/9/21,"4,254.47","4,270.34","4,231.69","4,259.49"
8/6/21,"4,283.26","4,286.22","4,241.55","4,254.47"
8/5/21,"4,250.65","4,293.15","4,244.63","4,283.26"
8/4/21,"4,210.72","4,255.95","4,210.72","4,250.65"
8/3/21,"4,194.64","4,214.55","4,156.47","4,210.72"
8/2/21,"4,174.27","4,227.74","4,174.27","4,194.64"
7/30/21,"4,192.42","4,201.19","4,140.12","4,174.27"
7/29/21,"4,166.84","4,210.79","4,166.84","4,192.41"
7/28/21,"4,104.98","4,178.33","4,104.98","4,166.84"
7/27/21,"4,184.47","4,184.47","4,035.85","4,104.98"
7/26/21,"4,210.51","4,210.51","4,161.81","4,184.47"
7/23/21,"4,173.50","4,213.70","4,170.23","4,210.51"
7/22/21,"4,156.63","4,175.82","4,149.32","4,173.50"
7/21/21,"4,083.73","4,156.67","4,081.58","4,156.63"
7/20/21,"4,026.30","4,104.91","4,008.71","4,083.73"
7/19/21,"4,041.67","4,041.67","3,960.66","4,026.30"
7/16/21,"4,089.19","4,115.56","4,034.64","4,041.67"
7/15/21,"4,139.99","4,145.13","4,061.59","4,089.19"
7/14/21,"4,171.06","4,208.26","4,137.64","4,139.99"
7/13/21,"4,170.75","4,210.57","4,157.55","4,171.06"
7/12/21,"4,158.79","4,182.41","4,145.36","4,170.75"
7/9/21,"4,093.94","4,162.21","4,093.65","4,158.79"
7/8/21,"4,138.74","4,138.74","4,035.54","4,093.94"
7/7/21,"4,184.64","4,214.22","4,126.84","4,138.74"
7/6/21,"4,178.76","4,198.70","4,140.06","4,184.64"
7/2/21,"4,154.72","4,189.56","4,154.72","4,178.76"
7/1/21,"4,185.78","4,193.83","4,136.73","4,154.72"
6/30/21,"4,196.77","4,197.84","4,174.50","4,185.77"
6/29/21,"4,171.40","4,197.37","4,150.35","4,196.77"
6/28/21,"4,114.12","4,173.99","4,114.12","4,171.40"
6/25/21,"4,117.17","4,136.75","4,100.57","4,114.12"
6/24/21,"4,077.15","4,141.54","4,077.15","4,117.17"
6/23/21,"4,049.66","4,090.81","4,049.66","4,077.15"
6/22/21,"4,026.79","4,054.98","4,017.14","4,049.66"
6/21/21,"4,016.80","4,033.00","3,974.53","4,026.79"
6/18/21,"4,058.32","4,059.62","4,008.54","4,016.80"
6/17/21,"3,989.68","4,070.76","3,973.81","4,058.32"
6/16/21,"4,008.07","4,023.32","3,949.26","3,989.68"
6/15/21,"4,048.25","4,053.34","4,001.43","4,008.07"
6/14/21,"4,002.93","4,048.39","3,999.62","4,048.25"
6/11/21,"3,976.10","4,003.18","3,975.09","4,002.93"
6/10/21,"3,932.21","3,978.80","3,928.02","3,976.10"
6/9/21,"3,945.01","3,966.78","3,931.20","3,932.21"
6/8/21,"3,963.64","3,997.40","3,922.85","3,945.01"
6/7/21,"3,956.32","3,967.87","3,930.06","3,963.64"
6/4/21,"3,882.60","3,962.87","3,882.60","3,956.32"
6/3/21,"3,949.82","3,949.82","3,870.21","3,882.60"
6/2/21,"3,948.63","3,964.20","3,931.48","3,949.82"
6/1/21,"3,920.15","3,981.09","3,919.25","3,948.63"
5/28/21,"3,902.05","3,948.49","3,902.05","3,920.15"
5/27/21,"3,891.12","3,907.56","3,866.07","3,902.05"
5/26/21,"3,876.43","3,901.01","3,876.43","3,891.12"
5/25/21,"3,875.10","3,913.68","3,865.22","3,876.43"
5/24/21,"3,794.94","3,896.00","3,794.94","3,875.10"
5/21/21,"3,818.61","3,840.66","3,793.19","3,794.94"
5/20/21,"3,726.44","3,825.89","3,726.44","3,818.61"
5/19/21,"3,696.63","3,726.47","3,616.33","3,726.44"
5/18/21,"3,695.04","3,742.48","3,694.09","3,696.63"
5/17/21,"3,704.52","3,704.52","3,649.70","3,694.94"
5/14/21,"3,595.52","3,716.02","3,595.52","3,704.52"
5/13/21,"3,600.65","3,666.88","3,560.06","3,595.52"
5/12/21,"3,726.29","3,726.29","3,592.28","3,600.65"
5/11/21,"3,708.14","3,735.73","3,603.36","3,726.29"
5/10/21,"3,856.76","3,856.76","3,707.88","3,708.14"
5/7/21,"3,823.79","3,896.70","3,823.79","3,856.76"
5/6/21,"3,830.27","3,830.27","3,768.99","3,823.79"
5/5/21,"3,845.78","3,885.43","3,819.03","3,830.27"
