,Price,Open,High,Low
2003-01-02,103.47,102.71,103.67,102.4
2003-01-03,102.86,103.36,103.56,102.72
2003-01-06,102.39,102.6,102.66,102.12
2003-01-07,102.94,102.67,103.07,102.6
2003-01-08,102.24,102.85,103.34,101.82
2003-01-09,102.29,101.91,102.55,101.95
2003-01-10,101.56,102.15,102.23,101.55
2003-01-13,101.83,101.71,102.0,101.65
2003-01-14,101.53,101.7,101.71,101.3
2003-01-15,101.69,101.75,102.03,101.37
2003-01-16,101.12,101.48,101.62,100.95
2003-01-17,100.89,101.03,101.1,100.62
2003-01-21,100.47,101.12,101.26,100.4
2003-01-22,100.53,100.39,100.79,100.4
2003-01-23,100.17,100.35,100.43,99.98
2003-01-24,99.45,99.86,100.15,99.41
2003-01-27,99.54,99.44,99.99,99.05
2003-01-28,99.74,99.98,100.0,99.6
2003-01-29,99.53,99.26,99.75,99.15
2003-01-30,99.75,99.74,100.3,99.65
2003-01-31,100.14,99.59,100.47,99.57
2003-02-03,100.12,100.46,100.7,100.0
2003-02-04,99.29,99.77,99.86,99.12
2003-02-05,99.9,99.0,100.34,98.87
2003-02-06,99.69,99.78,99.92,99.51
2003-02-07,99.77,100.03,100.5,99.7
2003-02-10,100.48,99.77,100.64,99.86
2003-02-11,100.62,100.63,101.1,100.4
2003-02-12,100.73,100.52,100.85,100.25
2003-02-13,99.72,100.1,100.46,99.6
2003-02-14,100.25,99.7,100.3,99.72
2003-02-18,100.7,100.37,100.75,100.38
2003-02-19,100.18,100.45,100.55,100.1
2003-02-20,99.65,100.05,100.15,99.55
2003-02-21,100.25,99.67,100.36,99.53
2003-02-24,99.74,100.19,100.3,99.66
2003-02-25,99.91,99.68,100.16,99.5
2003-02-26,99.69,100.07,100.21,99.55
2003-02-27,99.87,99.66,100.16,99.35
2003-02-28,99.81,100.04,100.08,99.71
2003-03-03,99.18,99.75,99.82,99.08
2003-03-04,99.16,98.92,99.2,98.83
2003-03-05,98.29,98.32,98.6,98.16
2003-03-06,98.37,98.4,98.68,98.1
2003-03-07,98.1,98.01,98.3,97.62
2003-03-10,97.92,97.93,98.03,97.74
2003-03-11,98.08,97.9,98.13,97.63
2003-03-12,98.19,98.02,98.39,97.9
2003-03-13,99.61,98.88,99.66,98.86
2003-03-14,100.05,99.53,100.42,99.5
2003-03-17,99.69,99.32,99.68,99.32
2003-03-18,101.4,101.3,102.06,101.3
2003-03-19,102.11,101.45,102.15,101.23
2003-03-20,101.63,101.46,101.88,101.2
2003-03-21,102.45,101.68,102.68,101.72
2003-03-24,101.43,101.89,102.04,101.25
2003-03-25,101.37,101.4,101.49,100.82
2003-03-26,101.07,101.19,101.47,100.89
2003-03-27,101.12,100.95,101.18,100.56
2003-03-28,100.35,101.0,101.16,100.23
2003-03-31,99.49,100.4,100.42,99.3
2003-04-01,99.58,99.34,99.8,99.3
2003-04-02,100.55,99.17,100.69,99.17
2003-04-03,100.78,100.5,101.09,100.35
2003-04-04,100.88,100.43,101.18,100.41
2003-04-07,101.48,101.25,102.19,101.25
2003-04-08,100.9,100.96,101.4,100.9
2003-04-09,100.53,100.79,101.24,100.39
2003-04-10,100.2,100.5,100.53,99.85
2003-04-11,100.56,100.17,100.98,100.2
2003-04-14,100.31,100.65,100.76,100.01
2003-04-15,100.05,100.26,100.6,100.0
2003-04-16,99.29,100.22,100.22,99.22
2003-04-17,99.56,99.32,99.65,99.02
2003-04-21,99.9,99.5,100.15,99.5
2003-04-22,98.99,99.89,99.95,98.68
2003-04-23,99.02,99.11,99.32,98.89
2003-04-24,98.56,99.09,99.12,98.36
2003-04-25,98.62,98.45,99.14,98.42
2003-04-28,98.92,98.49,98.96,98.23
2003-04-29,98.2,98.86,99.23,98.19
2003-04-30,97.38,98.22,98.22,97.32
2003-05-01,96.88,97.35,97.43,96.47
2003-05-02,96.94,96.74,97.25,96.66
2003-05-05,96.53,97.0,97.04,96.4
2003-05-06,95.58,96.42,96.47,95.4
2003-05-07,95.76,95.45,96.09,95.45
2003-05-08,95.11,95.85,96.14,95.01
2003-05-09,95.16,95.16,95.51,94.89
2003-05-12,94.72,94.67,94.8,94.37
2003-05-13,94.88,94.77,95.3,94.7
2003-05-14,94.73,94.85,95.17,94.59
2003-05-15,95.41,94.88,95.53,94.82
2003-05-16,94.18,95.47,95.47,94.15
2003-05-19,93.9,93.63,94.07,93.17
2003-05-20,93.4,93.87,94.1,93.31
2003-05-21,93.68,93.16,93.75,93.13
2003-05-22,93.71,93.84,94.05,93.32
2003-05-23,93.13,93.76,93.86,93.01
2003-05-27,92.81,92.7,92.89,92.35
2003-05-28,93.58,93.12,93.92,92.92
2003-05-29,92.84,93.5,93.99,92.55
2003-05-30,93.31,92.55,93.71,92.55
2003-06-02,93.46,93.81,94.15,93.35
2003-06-03,93.56,93.47,94.02,93.31
2003-06-04,93.79,93.64,93.9,93.48
2003-06-05,92.59,93.97,94.1,92.3
2003-06-06,93.56,92.55,93.64,92.37
2003-06-09,93.38,93.55,93.7,93.03
2003-06-10,93.62,93.54,93.65,93.33
2003-06-11,93.02,93.62,93.62,92.93
2003-06-12,92.89,92.96,93.27,92.6
2003-06-13,92.25,92.84,93.1,92.2
2003-06-16,92.8,92.53,92.9,92.37
2003-06-17,93.07,92.92,93.35,92.63
2003-06-18,93.61,93.06,93.82,93.06
2003-06-19,93.64,93.57,94.3,93.38
2003-06-20,94.45,93.65,94.73,93.4
2003-06-23,94.47,94.51,94.89,94.3
2003-06-24,94.83,94.47,95.04,94.34
2003-06-25,94.55,94.83,94.89,93.88
2003-06-26,95.4,94.47,95.44,94.59
2003-06-27,95.49,95.37,95.68,95.22
2003-06-30,95.11,95.49,95.7,95.09
2003-07-01,94.65,94.86,94.98,94.3
2003-07-02,94.4,94.56,94.85,94.4
2003-07-03,94.75,94.48,95.14,94.41
2003-07-07,95.9,95.42,95.95,94.9
2003-07-08,96.19,95.88,96.48,95.76
2003-07-09,95.89,96.08,96.18,95.71
2003-07-10,95.67,95.9,96.23,95.65
2003-07-11,96.13,95.87,96.37,95.85
2003-07-14,96.37,96.36,96.61,96.13
2003-07-15,97.22,96.4,97.46,95.99
2003-07-16,97.0,97.26,97.8,96.89
2003-07-17,97.19,96.88,97.55,96.83
2003-07-18,96.82,96.98,97.55,96.6
2003-07-21,96.42,97.02,97.02,96.3
2003-07-22,96.67,96.51,96.75,96.2
2003-07-23,95.6,96.62,96.62,95.4
2003-07-24,95.59,95.46,95.87,95.35
2003-07-25,95.12,95.51,95.64,94.83
2003-07-28,95.28,95.18,95.58,95.12
2003-07-29,95.5,95.39,95.6,95.0
2003-07-30,96.3,95.7,96.42,95.59
2003-07-31,97.14,96.31,97.26,96.32
2003-08-01,96.87,97.03,97.72,96.7
2003-08-04,96.36,96.7,96.85,96.21
2003-08-05,96.37,96.33,96.68,96.24
2003-08-06,96.42,95.99,96.58,95.81
2003-08-07,95.96,96.38,96.45,95.67
2003-08-08,96.57,95.93,96.58,95.93
2003-08-11,95.98,96.54,96.7,95.82
2003-08-12,96.34,95.98,96.5,95.97
2003-08-13,96.35,96.56,96.97,96.2
2003-08-14,96.82,96.27,96.96,96.18
2003-08-15,96.8,96.67,96.82,96.67
2003-08-18,97.45,96.71,97.65,96.71
2003-08-19,97.48,97.51,98.2,97.4
2003-08-20,97.51,97.49,97.76,97.35
2003-08-21,98.7,97.5,98.97,97.59
2003-08-22,99.0,98.7,99.4,98.63
2003-08-25,98.93,99.07,99.2,98.68
2003-08-26,98.84,99.27,99.57,98.69
2003-08-27,98.99,99.04,99.12,98.63
2003-08-28,98.94,99.01,99.36,98.63
2003-08-29,98.1,98.74,98.81,97.92
2003-09-02,99.06,98.2,99.11,98.18
2003-09-03,98.81,99.07,99.4,98.57
2003-09-04,98.27,98.9,99.1,98.23
2003-09-05,97.13,98.2,98.33,97.07
2003-09-08,97.2,97.21,97.54,96.93
2003-09-09,96.43,97.34,97.38,96.21
2003-09-10,96.51,96.42,96.82,96.41
2003-09-11,96.56,96.57,96.9,96.22
2003-09-12,96.03,96.58,96.79,95.82
2003-09-15,96.83,96.13,96.22,96.01
2003-09-16,97.12,96.48,97.19,96.35
2003-09-17,96.14,97.06,97.24,96.12
2003-09-18,96.31,96.28,96.45,95.6
2003-09-19,95.34,96.25,96.3,95.13
2003-09-22,94.21,94.15,94.73,94.05
2003-09-23,94.34,94.4,94.45,93.85
2003-09-24,94.07,94.54,94.55,94.0
2003-09-25,94.14,94.11,94.23,93.72
2003-09-26,94.25,94.19,94.42,94.0
2003-09-29,93.44,94.24,94.68,93.32
2003-09-30,93.2,93.26,93.61,92.43
2003-10-01,92.7,93.11,93.12,92.66
2003-10-02,92.73,92.71,93.0,92.5
2003-10-03,93.53,92.75,93.62,92.64
2003-10-06,92.8,93.51,93.61,92.53
2003-10-07,92.18,92.63,92.71,91.9
2003-10-08,92.04,92.2,92.21,91.84
2003-10-09,92.33,91.91,92.68,91.63
2003-10-10,91.79,92.29,92.49,91.55
2003-10-13,92.17,92.31,92.6,92.09
2003-10-14,92.15,92.34,93.06,91.93
2003-10-15,92.72,92.09,93.09,92.09
2003-10-16,92.9,92.86,93.18,92.27
2003-10-17,92.6,92.91,93.33,92.54
2003-10-20,92.73,92.27,92.99,92.22
2003-10-21,92.64,92.76,92.94,92.35
2003-10-22,91.53,92.48,92.55,91.38
2003-10-23,91.68,91.48,91.9,91.35
2003-10-24,91.51,91.52,91.78,91.23
2003-10-27,91.85,91.61,91.95,91.54
2003-10-28,92.1,91.85,92.35,91.81
2003-10-29,92.12,92.19,92.19,91.75
2003-10-30,92.46,92.1,92.54,91.52
2003-10-31,92.88,92.46,92.99,92.4
2003-11-03,93.87,92.86,94.1,92.68
2003-11-04,93.45,93.87,93.99,93.31
2003-11-05,93.82,93.54,94.04,93.48
2003-11-06,94.1,93.86,94.23,93.75
2003-11-07,93.2,94.14,94.32,93.15
2003-11-10,93.17,93.32,93.45,92.92
2003-11-11,93.26,93.33,93.35,93.22
2003-11-12,92.42,93.17,93.18,92.16
2003-11-13,91.74,92.28,92.38,91.65
2003-11-14,91.6,91.65,91.8,91.33
2003-11-17,91.67,91.14,91.95,91.08
2003-11-18,90.41,91.82,91.82,90.4
2003-11-19,91.0,90.38,91.06,90.37
2003-11-20,90.72,90.88,90.93,90.4
2003-11-21,90.75,90.78,91.03,90.57
2003-11-24,91.73,90.68,91.78,90.7
2003-11-25,91.57,91.54,91.82,91.4
2003-11-26,90.72,91.54,91.54,90.5
2003-11-28,90.28,90.6,90.63,90.13
2003-12-01,90.43,90.15,90.59,89.93
2003-12-02,89.67,90.39,90.6,89.65
2003-12-03,89.57,89.61,89.73,89.4
2003-12-04,89.63,89.48,90.08,89.25
2003-12-05,89.19,89.8,89.8,89.1
2003-12-08,88.75,89.08,89.23,88.69
2003-12-09,88.64,88.74,89.0,88.49
2003-12-10,88.88,88.54,89.27,88.61
2003-12-11,88.89,89.01,89.55,88.9
2003-12-12,88.46,88.84,88.95,88.43
2003-12-15,88.51,88.89,88.89,88.45
2003-12-16,88.74,88.84,88.92,88.55
2003-12-17,88.3,88.81,88.93,88.18
2003-12-18,88.24,88.29,88.64,88.23
2003-12-19,88.53,88.22,88.78,88.26
2003-12-22,88.39,88.64,88.6,88.15
2003-12-23,88.37,88.36,88.46,88.2
2003-12-24,87.89,88.3,88.35,87.78
2003-12-26,87.93,87.8,87.99,87.76
2003-12-29,87.74,88.07,88.08,87.57
2003-12-30,87.37,87.69,87.72,87.25
2003-12-31,87.26,87.27,87.54,86.7
2004-01-02,86.93,87.07,87.2,86.85
2004-01-05,86.35,86.75,86.77,86.27
2004-01-06,85.93,86.34,86.4,85.66
2004-01-07,86.52,86.19,86.59,86.13
2004-01-08,85.88,86.55,86.96,85.75
2004-01-09,85.39,85.84,86.23,85.27
2004-01-12,85.86,85.32,85.87,85.1
2004-01-13,85.78,85.84,85.99,85.53
2004-01-14,86.32,85.54,86.47,85.54
2004-01-15,86.87,86.39,86.93,86.34
2004-01-16,88.05,86.73,88.17,86.73
2004-01-20,86.98,87.62,87.69,86.77
2004-01-21,86.6,86.82,86.98,86.35
2004-01-22,86.09,86.44,86.45,85.85
2004-01-23,86.85,85.98,87.05,85.76
2004-01-26,87.51,86.94,87.55,86.61
2004-01-27,86.54,87.39,87.56,86.38
2004-01-28,87.24,86.47,87.5,86.44
2004-01-29,87.82,87.63,88.07,87.14
2004-01-30,87.42,87.81,88.03,87.25
2004-02-02,87.79,87.34,87.91,87.39
2004-02-03,86.98,87.66,87.7,86.67
2004-02-04,87.02,87.04,87.3,86.92
2004-02-05,87.12,87.07,87.14,86.46
2004-02-06,86.2,86.96,87.27,86.02
2004-02-09,86.17,86.42,86.42,85.83
2004-02-10,86.04,86.12,86.13,85.6
2004-02-11,85.36,86.1,86.31,85.2
2004-02-12,85.47,85.2,85.48,85.2
2004-02-13,85.68,85.35,85.84,84.85
2004-02-17,85.12,85.23,85.36,84.93
2004-02-18,86.02,84.98,86.16,84.77
2004-02-19,86.04,85.79,86.4,85.79
2004-02-20,87.4,85.69,87.53,85.69
2004-02-23,87.17,87.35,87.82,86.83
2004-02-24,86.23,86.96,87.22,86.08
2004-02-25,87.32,86.24,87.47,86.2
2004-02-26,87.79,87.35,88.13,87.27
2004-02-27,87.42,87.74,88.06,87.28
2004-03-01,87.62,87.11,87.7,87.11
2004-03-02,88.93,87.62,89.15,87.6
2004-03-03,89.14,89.05,89.95,89.02
2004-03-04,89.22,89.15,89.5,88.9
2004-03-05,88.23,89.21,89.3,87.8
2004-03-08,88.04,88.23,88.4,87.9
2004-03-09,88.39,87.88,88.31,87.67
2004-03-10,89.02,88.5,89.26,88.35
2004-03-11,88.49,88.98,89.32,88.51
2004-03-12,89.09,88.35,89.44,88.84
2004-03-15,89.019,89.16,89.16,88.75
2004-03-16,89.02,89.18,89.32,88.54
2004-03-17,89.05,89.0,89.46,88.91
2004-03-18,88.15,89.11,89.0,87.8
2004-03-19,88.54,88.06,88.75,87.95
2004-03-22,88.2,88.55,88.93,87.8
2004-03-23,88.22,88.12,88.58,88.01
2004-03-24,89.35,88.08,89.42,87.95
2004-03-25,89.32,89.31,89.65,88.95
2004-03-26,89.28,89.28,89.57,88.78
2004-03-29,88.98,89.27,89.47,88.85
2004-03-30,88.78,88.86,88.87,88.5
2004-03-31,87.95,88.81,88.81,87.78
2004-04-01,87.53,87.9,88.15,87.3
2004-04-02,88.85,87.56,89.05,87.47
2004-04-05,89.58,88.94,89.8,88.88
2004-04-06,89.08,89.58,89.71,88.92
2004-04-07,88.55,88.94,89.17,88.45
2004-04-08,89.29,88.71,89.4,88.56
2004-04-12,89.22,89.25,89.42,89.15
2004-04-13,90.18,89.23,90.42,89.25
2004-04-14,90.56,90.2,91.02,90.2
2004-04-15,90.36,90.56,90.94,90.24
2004-04-16,90.24,90.3,90.78,89.85
2004-04-19,90.11,90.02,90.15,89.65
2004-04-20,90.75,90.16,90.91,90.16
2004-04-21,91.42,91.24,91.53,90.82
2004-04-22,91.1,91.63,91.63,91.0
2004-04-23,91.36,90.91,91.66,90.78
2004-04-26,90.85,91.49,91.76,90.84
2004-04-27,90.63,90.94,91.15,90.57
2004-04-28,91.43,90.65,91.55,90.62
2004-04-29,90.8,91.48,91.79,90.55
2004-04-30,90.68,90.77,91.1,90.54
2004-05-03,91.02,90.81,91.14,90.73
2004-05-04,90.05,90.95,91.04,89.85
2004-05-05,89.5,89.97,89.97,89.42
2004-05-06,90.09,89.56,90.18,89.57
2004-05-07,91.31,90.13,91.49,89.7
2004-05-10,91.75,91.39,92.07,91.34
2004-05-11,91.84,91.84,92.29,91.6
2004-05-12,91.44,91.73,91.83,91.2
2004-05-13,92.15,91.41,92.45,91.45
2004-05-14,91.78,92.25,92.5,91.6
2004-05-17,91.16,91.72,91.84,90.62
2004-05-18,91.41,91.11,91.45,90.92
2004-05-19,90.66,91.37,91.37,90.48
2004-05-20,91.15,90.72,91.42,90.72
2004-05-21,90.57,91.0,91.0,90.16
2004-05-24,90.59,90.58,91.06,90.49
2004-05-25,89.89,90.67,90.78,89.77
2004-05-26,89.81,89.93,90.04,89.56
2004-05-27,88.71,89.83,89.98,88.63
2004-05-28,88.98,88.71,89.08,88.59
2004-06-01,88.91,88.68,89.1,88.56
2004-06-02,88.9,88.81,89.05,88.41
2004-06-03,89.0,88.86,89.18,88.8
2004-06-04,88.59,88.98,89.5,88.5
2004-06-07,88.29,88.45,88.45,88.09
2004-06-08,88.56,88.17,88.64,88.06
2004-06-09,89.75,88.54,89.81,88.5
2004-06-10,89.28,89.71,89.78,89.14
2004-06-14,90.28,90.54,90.77,90.05
2004-06-15,89.42,90.26,90.45,89.42
2004-06-16,90.42,89.43,90.56,89.43
2004-06-17,89.95,90.45,90.45,89.83
2004-06-18,89.43,90.1,90.4,89.38
2004-06-21,89.6,89.36,89.73,89.31
2004-06-22,89.77,89.5,89.85,89.48
2004-06-23,89.73,89.65,89.87,89.14
2004-06-24,89.03,89.66,89.97,88.88
2004-06-25,89.22,89.09,89.41,89.03
2004-06-28,89.01,89.05,89.31,88.75
2004-06-29,89.7,89.0,89.78,89.0
2004-06-30,89.0,89.56,89.86,88.97
2004-07-01,89.08,89.07,89.27,88.86
2004-07-02,88.18,89.1,89.33,88.15
2004-07-06,88.35,88.38,88.6,88.18
2004-07-07,87.88,88.47,88.54,87.73
2004-07-08,87.76,87.9,88.13,87.68
2004-07-09,87.67,87.76,87.87,87.54
2004-07-12,87.65,87.46,87.7,87.4
2004-07-13,88.01,87.58,88.32,87.61
2004-07-14,87.76,88.05,88.07,87.55
2004-07-15,88.2,87.83,88.26,87.83
2004-07-16,87.3,88.12,88.2,87.24
2004-07-19,87.35,87.25,87.53,87.2
2004-07-20,87.96,87.3,88.1,87.3
2004-07-21,88.77,88.0,88.98,87.92
2004-07-22,88.63,88.63,88.78,88.28
2004-07-23,89.46,88.51,89.52,88.47
2004-07-26,89.22,89.36,89.42,88.95
2004-07-27,89.98,89.25,90.06,88.92
2004-07-28,89.94,89.88,90.31,89.78
2004-07-29,90.14,89.96,90.49,89.71
2004-07-30,90.11,90.06,90.23,89.5
2004-08-02,89.93,89.98,89.98,89.52
2004-08-03,89.7,89.97,90.1,89.62
2004-08-04,89.83,89.7,90.34,89.68
2004-08-05,89.78,89.76,89.98,89.59
2004-08-06,88.46,89.88,89.89,88.37
2004-08-09,88.49,88.47,88.66,88.35
2004-08-10,88.93,88.51,88.95,88.3
2004-08-11,88.98,88.86,89.11,88.78
2004-08-12,88.8,88.95,89.05,88.35
2004-08-13,87.97,88.86,89.28,87.94
2004-08-16,88.03,87.91,88.28,87.9
2004-08-17,88.15,88.0,88.34,87.78
2004-08-18,88.15,88.1,88.41,88.1
2004-08-19,87.82,88.14,88.14,87.76
2004-08-20,88.23,87.8,88.34,87.73
2004-08-23,89.18,88.28,89.19,88.25
2004-08-24,89.55,89.16,89.66,89.01
2004-08-25,89.47,89.47,89.74,89.28
2004-08-26,89.35,89.46,89.61,89.2
2004-08-27,89.8,89.35,89.89,89.16
2004-08-30,89.74,89.82,89.94,89.6
2004-08-31,88.96,89.69,89.67,88.77
2004-09-01,88.92,89.0,89.18,88.72
2004-09-02,89.02,88.86,89.12,88.84
2004-09-03,89.66,88.93,89.8,88.8
2004-09-07,89.24,89.4,89.61,89.23
2004-09-08,88.8,89.33,89.77,88.78
2004-09-09,88.83,88.8,89.05,88.7
2004-09-10,88.37,88.57,88.9,88.14
2004-09-13,88.72,88.23,88.7,88.3
2004-09-14,88.72,88.82,88.9,88.44
2004-09-15,89.4,88.65,89.58,88.72
2004-09-16,88.99,89.42,89.48,88.96
2004-09-17,89.1,88.98,89.32,88.92
2004-09-20,89.18,89.13,89.49,89.1
2004-09-21,88.31,89.12,89.2,88.15
2004-09-22,88.68,88.3,88.9,88.24
2004-09-23,88.62,88.68,88.68,88.21
2004-09-24,88.59,88.58,88.75,88.0
2004-09-27,88.48,88.46,88.72,88.32
2004-09-28,88.27,88.39,88.46,88.1
2004-09-29,88.29,88.32,88.5,88.11
2004-09-30,87.51,88.2,88.32,87.49
2004-10-01,87.76,87.52,87.92,87.47
2004-10-04,88.54,87.84,88.77,87.92
2004-10-05,88.29,88.52,88.64,88.28
2004-10-06,88.65,88.35,88.79,88.33
2004-10-07,88.51,88.53,88.61,88.35
2004-10-08,87.55,88.4,88.35,87.44
2004-10-11,87.67,87.54,87.72,87.55
2004-10-12,88.15,87.68,88.32,87.73
2004-10-13,88.02,88.14,88.72,87.84
2004-10-14,87.65,87.93,88.04,87.41
2004-10-15,87.22,87.68,87.82,86.98
